export_schema_version,export_date,data_as_of,rank,repo_id,full_name,owner,name,language,current_stars,crossed_10k,crossed_50k,crossed_100k,url,source_views,license,attribution
1,2026-06-26,2026-06-26T03:00:32.123Z,71,157616880,iptv-org/iptv,iptv-org,iptv,TypeScript,126673,2019-11-28,2022-03-11,2025-05-05,https://gitstarclub.com/iptv-org/iptv,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/157616880.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,72,231283452,excalidraw/excalidraw,excalidraw,excalidraw,TypeScript,125673,2020-07-20,2023-06-27,2025-06-14,https://gitstarclub.com/excalidraw/excalidraw,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/231283452.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,73,32484381,ripienaar/free-for-dev,ripienaar,free-for-dev,HTML,123245,2015-05-04,2021-05-27,2025-05-18,https://gitstarclub.com/ripienaar/free-for-dev,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/32484381.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,74,20580498,kubernetes/kubernetes,kubernetes,kubernetes,Go,123122,2016-06-05,2019-05-11,2023-03-30,https://gitstarclub.com/kubernetes/kubernetes,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/20580498.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,75,9384267,electron/electron,electron,electron,C++,121687,2015-07-26,2017-09-04,2021-06-06,https://gitstarclub.com/electron/electron,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/9384267.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,76,27193779,nodejs/node,nodejs,node,JavaScript,117877,2015-10-07,2018-05-31,2022-11-01,https://gitstarclub.com/nodejs/node,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/27193779.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,77,589831718,Comfy-Org/ComfyUI,Comfy-Org,ComfyUI,Python,117724,2023-08-17,2024-09-30,,https://gitstarclub.com/Comfy-Org/ComfyUI,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/589831718.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,78,612354784,ggml-org/llama.cpp,ggml-org,llama.cpp,C++,117357,2023-03-20,2024-02-22,,https://gitstarclub.com/ggml-org/llama.cpp,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/612354784.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,79,14098069,justjavac/free-programming-books-zh_CN,justjavac,free-programming-books-zh_CN,,117148,2016-10-13,2019-06-25,2022-11-01,https://gitstarclub.com/justjavac/free-programming-books-zh_CN,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/14098069.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,80,585146387,shadcn-ui/ui,shadcn-ui,ui,TypeScript,117004,2023-04-04,2024-03-11,,https://gitstarclub.com/shadcn-ui/ui,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/585146387.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,81,299354207,rustdesk/rustdesk,rustdesk,rustdesk,Rust,116501,2021-07-24,2023-11-13,2026-04-06,https://gitstarclub.com/rustdesk/rustdesk,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/299354207.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,82,793375104,Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,awesome-llm-apps,Python,115068,2024-12-31,2025-08-31,,https://gitstarclub.com/Shubhamsaboo/awesome-llm-apps,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/793375104.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,83,55076063,Hack-with-Github/Awesome-Hacking,Hack-with-Github,Awesome-Hacking,,114681,2017-08-06,2021-10-09,2025-07-22,https://gitstarclub.com/Hack-with-Github/Awesome-Hacking,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/55076063.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,84,1075372545,msitarzewski/agency-agents,msitarzewski,agency-agents,Shell,114582,2026-03-16,,,https://gitstarclub.com/msitarzewski/agency-agents,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1075372545.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,85,1042367133,github/spec-kit,github,spec-kit,Python,114184,2025-09-16,,,https://gitstarclub.com/github/spec-kit,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1042367133.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,86,724712,rust-lang/rust,rust-lang,rust,Rust,113992,2016-05-20,2020-12-14,2024-07-12,https://gitstarclub.com/rust-lang/rust,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/724712.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,87,576201,mrdoob/three.js,mrdoob,three.js,JavaScript,113186,2016-07-22,2020-06-06,2025-03-27,https://gitstarclub.com/mrdoob/three.js,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/576201.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,88,943149,d3/d3,d3,d3,Shell,113109,2015-09-27,2018-05-08,,https://gitstarclub.com/d3/d3,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/943149.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,89,15634981,godotengine/godot,godotengine,godot,C++,112842,2017-12-13,2022-04-01,2025-01-14,https://gitstarclub.com/godotengine/godot,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/15634981.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
